product_name,complaint_count
CM 9101 BB,6
BK 7101 DY,6
CM 8101 T,6
BDE 6072,6
7070 MI,6
3316 J,6
3106,6
7271 DF,6
UltraForce TSZ 2282,6
BKS 2240 A,6
BKS 2250,6
30920 Ekolojik,6
50960,6
41205,6
Smart Logic 35,6
D 91 HP,6
KM 70,6
D 80 HP,6
BOCD T 6510 DWS,6
BSS 2202,6
BSS 4420,6
SD 5061,6
B55 D 986 S,6
B50 C 885 A,6
B43 A 670 A,6
B65 C 890 A,6
B75 D 986 S,6
B55 A 850 B,6
B43 A 675 A,6
B75 D 895 A,6
B43 C 685 A,6
BKT 800 E BS,6
TM 5046 Floral,6
Mini Keyf,6
BKU 8928,6
BFC 431 G,5
BKK 3094 TB,5
BM 6045,5
3916,5
BB 260,5
966411 MB,5
983628 E,5
D1 9484 NK,5
970464 M,5
SBS 14611 NEX,5
B1 9459 NMN,5
974560 EB,5
970431 MB,5
B 9372 NEX,5
B 9500 NEX,5
191626 E,5
9597 KE,5
BK 9551 NF,5
BK 9412 NF,5
B 9480 NMS,5
B 9470 NMN,5
660316 M,5
CM 8102,5
CMB 9140 OG,5
CM 9140 BMG,5
BK 9122 EY,5
BK 850 YK,5
BK 9120 CS,5
ADE62540,5
ADA92740,5
3104,5
7051 NFB,5
7361 NFB,5
7216 DF,5
7681 EB,5
BKS 2540 T,5
Performist TSZ 5083,5
FT 401,5
FE 410,5
AC 8030,5
AC 5035,5
Keyf-i Bol TKM 2341,5
EM 8194 O,5
21215 P,5
31820 Ekolojik,5
40965,5
61261,5
31840 ProSmart,5
BDK870,5
CS Prodens Plus 25 Premix,5
Eco Smart 24,5
KMB 901 IG,5
KMB 1011,5
KM 93 B,5
D 81 HPS,5
KM 81 B,5
KM 1210,5
BMD 2084 GMI,5
MD 2610,5
AFE 21300,5
BKS 7680,5
BSS 2203,5
SD 2341,5
SD 8961,5
B55 A 955 A,5
B40 B 685 A,5
B49L 9762 5B Quatro,5
B65 B 975 A,5
B49 A 955 A,5
B55L 9682 5AS,5
Crystal Pro x B55 C 985 BE,5
BKT 800 B,5
In Love TM 5006,5
TM 2006,5
Keyf BKK 2113,5
31670 AV,5
AFE 21000,4
OIM 23300 X,4
BKK 1122,4
AOCG 64110,4
KB 5234 T Vitaminist,4
HBS 8170 C,4
BM 11042 I WF,4
BM 8008,4
D1 3001,4
BM 5005,4
BM 5015 I,4
BB 251,4
D3 2001,4
D 8001,4
191641 E,4
