year,id,educ,sex,race,income,natfare,health,satfin
2010.0,902.0,14.0,2.0,1.0,12.0,3.0,1.0,3.0
2010.0,904.0,18.0,1.0,1.0,12.0,3.0,2.0,3.0
2010.0,906.0,17.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,910.0,12.0,2.0,1.0,9.0,1.0,2.0,2.0
2010.0,918.0,12.0,2.0,1.0,8.0,2.0,2.0,2.0
2010.0,920.0,12.0,1.0,1.0,12.0,3.0,3.0,3.0
2010.0,922.0,12.0,2.0,1.0,9.0,1.0,4.0,3.0
2010.0,932.0,18.0,1.0,1.0,12.0,1.0,2.0,1.0
2010.0,933.0,12.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,940.0,18.0,2.0,1.0,12.0,3.0,2.0,3.0
2010.0,945.0,12.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,949.0,12.0,2.0,1.0,9.0,3.0,2.0,3.0
2010.0,951.0,13.0,2.0,1.0,9.0,3.0,3.0,3.0
2010.0,953.0,9.0,1.0,1.0,10.0,2.0,3.0,1.0
2010.0,960.0,19.0,2.0,1.0,12.0,2.0,2.0,1.0
2010.0,967.0,12.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,970.0,12.0,2.0,1.0,1.0,1.0,3.0,2.0
2010.0,974.0,12.0,2.0,1.0,10.0,3.0,3.0,2.0
2010.0,982.0,7.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,985.0,13.0,2.0,1.0,2.0,2.0,2.0,2.0
2010.0,986.0,18.0,2.0,1.0,12.0,3.0,2.0,1.0
2010.0,989.0,20.0,2.0,1.0,12.0,1.0,1.0,1.0
2010.0,997.0,18.0,2.0,1.0,9.0,2.0,1.0,2.0
2010.0,1002.0,12.0,1.0,1.0,9.0,3.0,2.0,3.0
2010.0,1005.0,13.0,1.0,1.0,12.0,2.0,3.0,1.0
2010.0,1006.0,17.0,2.0,1.0,12.0,3.0,1.0,2.0
2010.0,1009.0,20.0,1.0,1.0,12.0,3.0,3.0,2.0
2010.0,1010.0,18.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,1014.0,13.0,1.0,1.0,12.0,2.0,1.0,3.0
2010.0,1017.0,13.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,1019.0,14.0,2.0,1.0,8.0,1.0,2.0,3.0
2010.0,1023.0,12.0,2.0,1.0,12.0,2.0,3.0,2.0
2010.0,1026.0,20.0,2.0,1.0,12.0,2.0,2.0,1.0
2010.0,1028.0,14.0,2.0,1.0,10.0,2.0,2.0,2.0
2010.0,1030.0,15.0,2.0,1.0,9.0,1.0,2.0,3.0
2010.0,1033.0,13.0,1.0,2.0,12.0,3.0,2.0,1.0
2010.0,1035.0,12.0,2.0,2.0,12.0,3.0,4.0,2.0
2010.0,1038.0,10.0,2.0,2.0,10.0,1.0,2.0,1.0
2010.0,1040.0,18.0,2.0,2.0,12.0,2.0,1.0,2.0
2010.0,1044.0,16.0,2.0,1.0,11.0,1.0,2.0,1.0
2010.0,1045.0,12.0,2.0,1.0,11.0,3.0,2.0,3.0
2010.0,1047.0,18.0,2.0,1.0,12.0,2.0,2.0,1.0
2010.0,1055.0,12.0,2.0,1.0,12.0,3.0,2.0,1.0
2010.0,1063.0,17.0,1.0,1.0,12.0,2.0,1.0,1.0
2010.0,1064.0,13.0,2.0,1.0,12.0,3.0,1.0,2.0
